subscriber_id,predicted_churn_probability_calibrated,model_score_ranking_raw,risk_tier,top_driver,recommended_action,rule_id,campaign_priority,campaign_queue_rank,primary_channel,intervention_type,human_touch_flag,campaign_cost_tier,secondary_channel,shap_explanation_summary
586,1.0,0.7876,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.118 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.110 — Increases predicted churn risk
1372,1.0,0.0931,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.118 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.116 — Increases predicted churn risk
2192,1.0,0.6927,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.117 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.106 — Increases predicted churn risk
2578,1.0,0.0534,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.117 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.102 — Increases predicted churn risk
2862,1.0,0.8165,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.117 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.116 — Increases predicted churn risk
3210,1.0,0.928,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.114 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.109 — Increases predicted churn risk
3353,1.0,0.7226,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.116 — Increases predicted churn risk; Prepaid on 5G: +0.115 — Prepaid on 5G — high-risk segment
4545,1.0,0.5029,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.119 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.116 — Increases predicted churn risk
4586,1.0,0.7227,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.118 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.113 — Increases predicted churn risk
4760,1.0,0.0673,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.120 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.117 — Increases predicted churn risk
1652,0.9667,0.5567,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0000333,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.120 — Increases predicted churn risk; Prepaid on 5G: +0.117 — Prepaid on 5G — high-risk segment
7033,0.8154,0.0462,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0001846,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.123 — Increases predicted churn risk; Prepaid on 5G: +0.117 — Prepaid on 5G — high-risk segment
6,0.8,0.253,Very High,Prepaid on 5G,5G Retention Pack: 3-month discounted 5G night-unlimited add-on + outbound migration assessment for postpaid plan with waived SIM swap fee.,R02_PREPAID_5G,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.152 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.078 — Prepaid segment associated with higher churn risk
81,0.8,0.7513,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.115 — Increases predicted churn risk; Prepaid on 5G: +0.115 — Prepaid on 5G — high-risk segment
140,0.8,0.6894,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.120 — Increases predicted churn risk; Prepaid on 5G: +0.116 — Prepaid on 5G — high-risk segment
208,0.8,0.2178,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.119 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.118 — Increases predicted churn risk
233,0.8,0.0659,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.115 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.113 — Increases predicted churn risk
294,0.8,0.1635,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.134 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.092 — Prepaid segment associated with higher churn risk
302,0.8,0.4241,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.123 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.084 — Prepaid segment associated with higher churn risk
372,0.8,0.7085,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.121 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.098 — Prepaid segment associated with higher churn risk
384,0.8,0.8268,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.117 — Prepaid on 5G — high-risk segment; SIM tenure months: +0.115 — Increases predicted churn risk
420,0.8,0.0396,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.123 — Increases predicted churn risk; Prepaid on 5G: +0.112 — Prepaid on 5G — high-risk segment
460,0.8,0.6029,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.121 — Increases predicted churn risk; Prepaid on 5G: +0.120 — Prepaid on 5G — high-risk segment
490,0.8,0.1131,Very High,SIM tenure months,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,SIM tenure months: +0.124 — Increases predicted churn risk; Prepaid on 5G: +0.114 — Prepaid on 5G — high-risk segment
533,0.8,0.2293,Very High,Prepaid on 5G,Prepaid Welcome Save: 30-day onboarding SMS journey + 20% bonus credit on the next two recharges completed within 45 days (auto-applied on recharge).,R01_PREPAID_INFANT,P1,1.0002,SMS,digital_retention,False,C2,app_push,Prepaid on 5G: +0.120 — Prepaid on 5G — high-risk segment; Prepaid SIM: +0.097 — Prepaid segment associated with higher churn risk
